Data,Soggiacenza (m),id_left,longitude,latitude,quota[m],head[m],depth,averageHead[m],headSamples,geometry,AcquiferBase,control,index_right,id_right,Bottom,simulatedH,Error
2013-01-22 00:00:00,1.71,PO0200270R0053,895239.8974522189,5549803.284211055,18.0,16.29,19.0,16.11297619047619,84.0,POINT (895239.8974522189 5549803.284211055),[-252.74047],0.0,0,1,-1.0,16.839915947244506,0.7269397567683171
2013-01-30 00:00:00,9.8,PO0200280R0056,870835.6007761644,5590014.026450668,65.0,55.2,54.0,54.26096385542171,83.0,POINT (870835.6007761644 5590014.026450668),[-87.822733],0.0,0,1,11.0,47.511313835688284,-6.749650019733423
2013-01-08 00:00:00,2.0,PO0200290R0002,917936.1599094853,5555836.512227119,13.0,11.0,15.0,10.762926829268288,82.0,POINT (917936.1599094851 5555836.512227119),[-200.],0.0,0,1,-2.0,12.438489891986423,1.675563062718135
2013-01-23 00:00:00,3.37,PO020030NU0004,888881.4100455967,5571644.622484488,20.0,16.63,16.0,16.483974358974358,78.0,POINT (888881.4100455967 5571644.6224844875),[-140.53459],0.0,0,1,4.0,20.74947421983722,4.265499860862864
2013-01-29 00:00:00,1.38,PO0200310R0062,875493.5235768104,5563022.337858456,18.0,16.62,8.0,15.234819277108434,83.0,POINT (875493.5235768104 5563022.337858456),[-256.62677],0.0,0,1,10.0,20.07863848982818,4.843819212719746
2013-01-15 00:00:00,1.308,PO020032NR0001,863247.476276066,5574154.834036961,30.0,28.692,25.0,27.80117105263158,76.0,POINT (863247.476276066 5574154.834036961),[-173.03098],0.0,0,1,5.0,26.871076943748918,-0.9300941088826633
2013-04-22 00:00:00,3.5,PO0200330R0002,886907.8659679453,5578680.233776623,27.0,23.5,38.0,22.096133333333324,75.0,POINT (886907.8659679453 5578680.233776623),[-108.01997],0.0,0,1,-11.0,26.53034554749697,4.434212214163647
2013-01-13 00:00:00,11.8,PO0200360R0070,878856.1220816855,5593501.4494242,111.0,99.2,17.0,97.94821917808218,73.0,POINT (878856.1220816855 5593501.4494242),[-42.185774],0.0,0,1,94.0,64.6079216124944,-33.34029756558779
2013-01-08 00:00:00,3.81,PO0200370R0002,882610.6645089601,5559424.362182526,19.0,15.19,13.0,15.000384615384617,78.0,POINT (882610.6645089601 5559424.362182526),[-329.65093],0.0,0,1,6.0,14.99690680538454,-0.003477810000076076
2013-01-25 00:00:00,1.02,PO0200380R0076,917358.4881267358,5564261.819902262,12.0,10.98,80.0,10.276875,48.0,POINT (917358.4881267358 5564261.819902262),[-146.29097],0.0,0,1,-68.0,10.544678280991477,0.2678032809914761
2013-01-23 00:00:00,1.05,PO0200400R0001,913744.028183887,5558920.42904438,10.0,8.95,51.0,8.546463414634145,82.0,POINT (913744.028183887 5558920.42904438),[-199.58113],0.0,0,1,-41.0,12.677250969388247,4.130787554754102
2013-01-23 00:00:00,0.23,PO0200420R0001,918918.4711821962,5552903.166842795,11.0,10.77,6.0,9.876835443037974,79.0,POINT (918918.4711821962 5552903.166842795),[-200.],0.0,0,1,5.0,12.453438857214676,2.5766034141767022
2013-02-01 00:00:00,2.0,PO0200460U0081,910108.559239578,5559402.283966977,12.0,10.0,180.0,9.82923076923077,65.0,POINT (910108.5592395781 5559402.283966977),[-185.84457],0.0,0,1,-168.0,13.158164781480735,3.328934012249965
2013-01-15 00:00:00,3.9,PO0200480U0084,865630.6466693606,5574271.119923086,30.0,26.1,182.0,26.617261904761914,84.0,POINT (865630.6466693606 5574271.119923086),[-166.92938],0.0,0,1,-152.0,26.6136219291146,-0.0036399756473137757
